Bib	Team Name	City	Start Time	Swim	T1	Bike	T2	Run	Chip Elapsed	Division	Div Place
767	THEY MIGHT BE GIANTS		08:35:00	00:33:44	00:04:29	01:26:43	00:00:40	00:45:23	02:51:01	RELAY-FEMALE	1
766	SPICY CHICAS	DALY CITY	08:35:00	00:27:49	00:03:52	01:33:15	00:00:37	00:51:53	02:57:27	RELAY-FEMALE	2
764	CIRQUE DU SORE LEGS		08:35:00	00:44:26	00:05:29	01:31:08	00:00:48	00:56:18	03:18:12	RELAY-FEMALE	3
765	COLIBRI		08:35:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	RELAY-FEMALE	4
